iter	RMSE
819	0.02576579511
820	0.02570134626
821	0.02569801653
822	0.02557836147
823	0.02535813704
824	0.02534650889
825	0.02530236469
826	0.02521916214
827	0.02510487944
828	0.02502655765
829	0.02490746904
830	0.0247741855
831	0.02471865443
832	0.02471705841
833	0.02460230488
834	0.02455954664
835	0.0244758996
836	0.0244384571
837	0.02435670662
838	0.02431373114
839	0.02430002721
840	0.02427689282
841	0.02408815064
842	0.02397618613
843	0.02394162872
844	0.02393257125
845	0.0238726001
846	0.02380298782
847	0.02378363339
848	0.02377748473
849	0.02376474426
850	0.02372285361
851	0.02358958274
852	0.02358644381
853	0.02348916956
854	0.02338750728
855	0.02331590379
856	0.02325021665
857	0.0232002865
858	0.02306776257
859	0.02298123161
860	0.0229337612
861	0.02284444085
862	0.02279543098
863	0.0227726697
864	0.02272309884
865	0.02258535491
866	0.0225786951
867	0.02239997478
868	0.02239416448
869	0.02236998961
870	0.02215879604
871	0.0221133227
872	0.02210832405
873	0.02204036734
874	0.02194761478
875	0.02187226803
876	0.02186678535
877	0.02183083295
878	0.02179143174
879	0.02178317068
880	0.02177981525
881	0.02174447838
882	0.02171871908
883	0.02163153659
884	0.02149437157
885	0.02138160809
886	0.02137528249
887	0.02133128212
888	0.02125168253
889	0.02124768176
890	0.02122554934
891	0.02118879335
892	0.02116771128
893	0.02101464381
894	0.0209487798
895	0.02092279467
896	0.02087522843
897	0.02085852274
898	0.0208390078
899	0.02068978953
900	0.02065095979
901	0.02064784594
902	0.02058987138
903	0.02055467141
904	0.02053193532
905	0.02051213557
906	0.02044752599
907	0.02037432081
908	0.02034947224
909	0.02026583094
910	0.0202002979
911	0.02013223018
912	0.02008885935
913	0.020045318
914	0.02000436839
915	0.01998764516
916	0.0199633711
917	0.01990391299
918	0.0198914277
919	0.01978467293
920	0.01965325939
921	0.01961903799
922	0.0195776818
923	0.01955195673
924	0.01953148537
925	0.01947742205
926	0.01939470666
927	0.0192531519
928	0.01922856931
929	0.0191978233
930	0.01912162146
931	0.01910178173
932	0.01909924038
933	0.01903631797
934	0.01903483652
935	0.01900894024
936	0.01895478617
937	0.01891480313
938	0.01886983157
939	0.01881121678
940	0.01871513863
941	0.01867452671
942	0.018640082
943	0.01860683934
944	0.01847233782
945	0.01843645595
946	0.01841875166
947	0.01841053522
948	0.01839280979
949	0.01838433865
950	0.01835611655
951	0.01833394952
952	0.01829168897
953	0.01827152557
954	0.01817420533
955	0.01815621263
956	0.0181514222
957	0.01814712545
958	0.01805975527
959	0.01802251993
960	0.01797650564
961	0.0179118252
962	0.01781860981
963	0.01781272579
964	0.017738095
965	0.01773613406
966	0.01772848575
967	0.01769120763
968	0.01766131184
969	0.01765515345
970	0.01763292238
971	0.01763102509
972	0.01759333162
973	0.01758009151
974	0.01756694408
975	0.01754028908
976	0.01748684831
977	0.01745176902
978	0.01744892521
979	0.01739298104
980	0.01737568806
981	0.01733617589
982	0.01733246219
983	0.01730356926
984	0.01728281922
985	0.01727902542
986	0.0172456785
987	0.01724400206
988	0.01723215418
989	0.01716074654
990	0.01715361626
991	0.01713058127
992	0.01710610001
993	0.01706325839
994	0.01701018877
995	0.01695630275
996	0.01692785022
997	0.01680082253
998	0.01678177884
999	0.01675693013
